precision@k,recall@k,f1@k,hit_rate@k,mrr@k,collection,k,chunk_size,overlap
0.6486,0.6486,0.6486,0.6486,0.6486,wb_token_spl_best_512_75,1,512,75
0.545,0.8108,0.6337,0.8108,0.7297,wb_token_spl_best_512_75,2,512,75
0.4655,0.8559,0.5788,0.8559,0.7447,wb_token_spl_best_512_75,3,512,75
0.4088,0.8964,0.5368,0.8964,0.7549,wb_token_spl_best_512_75,4,512,75
0.3568,0.9099,0.4896,0.9099,0.7576,wb_token_spl_best_512_75,5,512,75
0.2261,0.9414,0.3514,0.9414,0.7623,wb_token_spl_best_512_75,10,512,75
0.6532,0.6532,0.6532,0.6532,0.6532,wb_token_spl_best_512_111,1,512,111
0.5631,0.7973,0.6412,0.7973,0.7252,wb_token_spl_best_512_111,2,512,111
0.476,0.8378,0.5833,0.8378,0.7387,wb_token_spl_best_512_111,3,512,111
0.4155,0.8874,0.5434,0.8874,0.7511,wb_token_spl_best_512_111,4,512,111
0.3658,0.9009,0.4997,0.9009,0.7538,wb_token_spl_best_512_111,5,512,111
0.2383,0.9279,0.3672,0.9279,0.7576,wb_token_spl_best_512_111,10,512,111
0.6532,0.6532,0.6532,0.6532,0.6532,wb_token_spl_best_512_147,1,512,147
0.5856,0.8018,0.6577,0.8018,0.7275,wb_token_spl_best_512_147,2,512,147
0.4985,0.8423,0.6032,0.8423,0.741,wb_token_spl_best_512_147,3,512,147
0.4392,0.8649,0.5565,0.8649,0.7466,wb_token_spl_best_512_147,4,512,147
0.3901,0.8874,0.5174,0.8874,0.7514,wb_token_spl_best_512_147,5,512,147
0.2599,0.9505,0.3935,0.9505,0.7606,wb_token_spl_best_512_147,10,512,147
0.6892,0.6892,0.6892,0.6892,0.6892,wb_token_spl_best_512_183,1,512,183
0.6239,0.8288,0.6922,0.8288,0.759,wb_token_spl_best_512_183,2,512,183
0.5285,0.8649,0.6324,0.8649,0.771,wb_token_spl_best_512_183,3,512,183
0.4685,0.8874,0.5874,0.8874,0.7767,wb_token_spl_best_512_183,4,512,183
0.4198,0.9099,0.5461,0.9099,0.7812,wb_token_spl_best_512_183,5,512,183
0.2856,0.9459,0.4195,0.9459,0.7859,wb_token_spl_best_512_183,10,512,183
0.6802,0.6802,0.6802,0.6802,0.6802,wb_token_spl_best_512_219,1,512,219
0.5946,0.8198,0.6697,0.8198,0.75,wb_token_spl_best_512_219,2,512,219
0.5465,0.8649,0.6419,0.8649,0.765,wb_token_spl_best_512_219,3,512,219
0.4842,0.8919,0.5995,0.8919,0.774,wb_token_spl_best_512_219,4,512,219
0.4486,0.9144,0.575,0.9144,0.7763,wb_token_spl_best_512_219,5,512,219
0.3041,0.9459,0.4409,0.9459,0.7812,wb_token_spl_best_512_219,10,512,219
0.7027,0.7027,0.7027,0.7027,0.7027,wb_token_spl_best_512_255,1,512,255
0.6419,0.8063,0.6967,0.8063,0.7545,wb_token_spl_best_512_255,2,512,255
0.5556,0.8333,0.6423,0.8333,0.7635,wb_token_spl_best_512_255,3,512,255
0.5101,0.8739,0.6173,0.8739,0.7736,wb_token_spl_best_512_255,4,512,255
0.4622,0.8964,0.5829,0.8964,0.7782,wb_token_spl_best_512_255,5,512,255
0.3194,0.9414,0.4552,0.9414,0.7853,wb_token_spl_best_512_255,10,512,255
0.7162,0.7162,0.7162,0.7162,0.7162,wb_token_spl_best_512_291,1,512,291
0.6644,0.8288,0.7192,0.8288,0.7703,wb_token_spl_best_512_291,2,512,291
0.5841,0.8604,0.6703,0.8604,0.78,wb_token_spl_best_512_291,3,512,291
0.5349,0.8919,0.6411,0.8919,0.7887,wb_token_spl_best_512_291,4,512,291
0.4928,0.9099,0.6111,0.9099,0.7923,wb_token_spl_best_512_291,5,512,291
0.3495,0.955,0.4874,0.955,0.7986,wb_token_spl_best_512_291,10,512,291
0.6847,0.6847,0.6847,0.6847,0.6847,wb_token_spl_best_512_327,1,512,327
0.6509,0.8198,0.7072,0.8198,0.7568,wb_token_spl_best_512_327,2,512,327
0.6201,0.8694,0.6955,0.8694,0.771,wb_token_spl_best_512_327,3,512,327
0.5709,0.8829,0.6628,0.8829,0.7766,wb_token_spl_best_512_327,4,512,327
0.5297,0.8964,0.6336,0.8964,0.7794,wb_token_spl_best_512_327,5,512,327
0.3851,0.9505,0.5207,0.9505,0.785,wb_token_spl_best_512_327,10,512,327
0.6982,0.6982,0.6982,0.6982,0.6982,wb_token_spl_best_512_363,1,512,363
0.6757,0.8063,0.7192,0.8063,0.7523,wb_token_spl_best_512_363,2,512,363
0.6471,0.8649,0.7131,0.8649,0.7718,wb_token_spl_best_512_363,3,512,363
0.6059,0.9054,0.6906,0.9054,0.7819,wb_token_spl_best_512_363,4,512,363
0.5694,0.9099,0.6654,0.9099,0.7828,wb_token_spl_best_512_363,5,512,363
0.4387,0.9459,0.5694,0.9459,0.7874,wb_token_spl_best_512_363,10,512,363
0.7162,0.7162,0.7162,0.7162,0.7162,wb_token_spl_best_512_400,1,512,400
0.705,0.8153,0.7417,0.8153,0.7658,wb_token_spl_best_512_400,2,512,400
0.6802,0.8559,0.7351,0.8559,0.7793,wb_token_spl_best_512_400,3,512,400
0.6475,0.8829,0.7187,0.8829,0.786,wb_token_spl_best_512_400,4,512,400
0.6225,0.9099,0.7058,0.9099,0.7914,wb_token_spl_best_512_400,5,512,400
0.4923,0.9459,0.6136,0.9459,0.7963,wb_token_spl_best_512_400,10,512,400
